group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1023450.0,ns,35
fib 20,,,,,2026211.0,ns,70
fib 20,,,,,3034201.0,ns,105
fib 20,,,,,4045017.0,ns,140
fib 20,,,,,5071232.0,ns,175
fib 20,,,,,6077980.0,ns,210
fib 20,,,,,7085720.0,ns,245
fib 20,,,,,8101626.0,ns,280
fib 20,,,,,9115186.0,ns,315
fib 20,,,,,10116354.0,ns,350
fib 20,,,,,11125808.0,ns,385
fib 20,,,,,12164376.0,ns,420
fib 20,,,,,13161836.0,ns,455
fib 20,,,,,14160940.0,ns,490
fib 20,,,,,15202795.0,ns,525
fib 20,,,,,16181079.0,ns,560
fib 20,,,,,17218685.0,ns,595
fib 20,,,,,18227628.0,ns,630
fib 20,,,,,19247731.0,ns,665
fib 20,,,,,20234522.0,ns,700
fib 20,,,,,21259425.0,ns,735
fib 20,,,,,22321246.0,ns,770
fib 20,,,,,23297558.0,ns,805
fib 20,,,,,24298134.0,ns,840
fib 20,,,,,25287790.0,ns,875
fib 20,,,,,26328702.0,ns,910
fib 20,,,,,27305244.0,ns,945
fib 20,,,,,28322151.0,ns,980
fib 20,,,,,29365589.0,ns,1015
fib 20,,,,,30409857.0,ns,1050
fib 20,,,,,31442884.0,ns,1085
fib 20,,,,,32405831.0,ns,1120
fib 20,,,,,33899933.0,ns,1155
fib 20,,,,,34388489.0,ns,1190
fib 20,,,,,35439681.0,ns,1225
fib 20,,,,,36496944.0,ns,1260
fib 20,,,,,37472143.0,ns,1295
fib 20,,,,,38523194.0,ns,1330
fib 20,,,,,39542446.0,ns,1365
fib 20,,,,,40527293.0,ns,1400
fib 20,,,,,41545884.0,ns,1435
fib 20,,,,,42596064.0,ns,1470
fib 20,,,,,43553198.0,ns,1505
fib 20,,,,,44562181.0,ns,1540
fib 20,,,,,45545876.0,ns,1575
fib 20,,,,,46648033.0,ns,1610
fib 20,,,,,47590772.0,ns,1645
fib 20,,,,,48596098.0,ns,1680
fib 20,,,,,49547361.0,ns,1715
fib 20,,,,,50702398.0,ns,1750
fib 20,,,,,51609760.0,ns,1785
fib 20,,,,,52636195.0,ns,1820
fib 20,,,,,53619409.0,ns,1855
fib 20,,,,,55330999.0,ns,1890
fib 20,,,,,56188498.0,ns,1925
fib 20,,,,,56647839.0,ns,1960
fib 20,,,,,57740879.0,ns,1995
fib 20,,,,,58738320.0,ns,2030
fib 20,,,,,59732013.0,ns,2065
fib 20,,,,,60713044.0,ns,2100
fib 20,,,,,61840879.0,ns,2135
fib 20,,,,,62797173.0,ns,2170
fib 20,,,,,63841401.0,ns,2205
fib 20,,,,,64856987.0,ns,2240
fib 20,,,,,65806046.0,ns,2275
fib 20,,,,,66771337.0,ns,2310
fib 20,,,,,67875648.0,ns,2345
fib 20,,,,,68862850.0,ns,2380
fib 20,,,,,69800688.0,ns,2415
fib 20,,,,,71039652.0,ns,2450
fib 20,,,,,72342396.0,ns,2485
fib 20,,,,,72830040.0,ns,2520
fib 20,,,,,73943639.0,ns,2555
fib 20,,,,,74897678.0,ns,2590
fib 20,,,,,75971993.0,ns,2625
fib 20,,,,,76965777.0,ns,2660
fib 20,,,,,77960814.0,ns,2695
fib 20,,,,,79027776.0,ns,2730
fib 20,,,,,79986553.0,ns,2765
fib 20,,,,,81560064.0,ns,2800
fib 20,,,,,82169477.0,ns,2835
fib 20,,,,,82960782.0,ns,2870
fib 20,,,,,84278643.0,ns,2905
fib 20,,,,,85537054.0,ns,2940
fib 20,,,,,86065845.0,ns,2975
fib 20,,,,,87158014.0,ns,3010
fib 20,,,,,88167398.0,ns,3045
fib 20,,,,,89176730.0,ns,3080
fib 20,,,,,90133034.0,ns,3115
fib 20,,,,,91159309.0,ns,3150
fib 20,,,,,92093451.0,ns,3185
fib 20,,,,,93143210.0,ns,3220
fib 20,,,,,94129229.0,ns,3255
fib 20,,,,,95334891.0,ns,3290
fib 20,,,,,96786113.0,ns,3325
fib 20,,,,,97160555.0,ns,3360
fib 20,,,,,98392676.0,ns,3395
fib 20,,,,,99334092.0,ns,3430
fib 20,,,,,100289544.0,ns,3465
fib 20,,,,,101218426.0,ns,3500
