group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1001300.0,ns,34
fib 20,,,,,1993300.0,ns,68
fib 20,,,,,3008000.0,ns,102
fib 20,,,,,4032500.0,ns,136
fib 20,,,,,4994300.0,ns,170
fib 20,,,,,5988000.0,ns,204
fib 20,,,,,6999200.0,ns,238
fib 20,,,,,7992100.0,ns,272
fib 20,,,,,8989300.0,ns,306
fib 20,,,,,9985700.0,ns,340
fib 20,,,,,11002500.0,ns,374
fib 20,,,,,11972900.0,ns,408
fib 20,,,,,12967000.0,ns,442
fib 20,,,,,13972600.0,ns,476
fib 20,,,,,14982600.0,ns,510
fib 20,,,,,15978700.0,ns,544
fib 20,,,,,17200300.0,ns,578
fib 20,,,,,18031600.0,ns,612
fib 20,,,,,19068200.0,ns,646
fib 20,,,,,20176900.0,ns,680
fib 20,,,,,21221800.0,ns,714
fib 20,,,,,22005200.0,ns,748
fib 20,,,,,22999900.0,ns,782
fib 20,,,,,24028800.0,ns,816
fib 20,,,,,25082400.0,ns,850
fib 20,,,,,26215800.0,ns,884
fib 20,,,,,27097400.0,ns,918
fib 20,,,,,28023500.0,ns,952
fib 20,,,,,29076500.0,ns,986
fib 20,,,,,30112900.0,ns,1020
fib 20,,,,,31061800.0,ns,1054
fib 20,,,,,32066500.0,ns,1088
fib 20,,,,,33063500.0,ns,1122
fib 20,,,,,35197800.0,ns,1156
fib 20,,,,,35074100.0,ns,1190
fib 20,,,,,35989400.0,ns,1224
fib 20,,,,,37045500.0,ns,1258
fib 20,,,,,38031200.0,ns,1292
fib 20,,,,,39051500.0,ns,1326
fib 20,,,,,40056600.0,ns,1360
fib 20,,,,,41091500.0,ns,1394
fib 20,,,,,42065800.0,ns,1428
fib 20,,,,,43097700.0,ns,1462
fib 20,,,,,44296400.0,ns,1496
fib 20,,,,,46246100.0,ns,1530
fib 20,,,,,45981000.0,ns,1564
fib 20,,,,,47635200.0,ns,1598
fib 20,,,,,48881600.0,ns,1632
fib 20,,,,,49178200.0,ns,1666
fib 20,,,,,50096600.0,ns,1700
fib 20,,,,,50926200.0,ns,1734
fib 20,,,,,52183300.0,ns,1768
fib 20,,,,,52948400.0,ns,1802
fib 20,,,,,53916900.0,ns,1836
fib 20,,,,,54954700.0,ns,1870
fib 20,,,,,55992800.0,ns,1904
fib 20,,,,,57019500.0,ns,1938
fib 20,,,,,57948800.0,ns,1972
fib 20,,,,,58913200.0,ns,2006
fib 20,,,,,60393700.0,ns,2040
fib 20,,,,,60961300.0,ns,2074
fib 20,,,,,61903400.0,ns,2108
fib 20,,,,,63223600.0,ns,2142
fib 20,,,,,64582300.0,ns,2176
fib 20,,,,,66372900.0,ns,2210
fib 20,,,,,67157900.0,ns,2244
fib 20,,,,,67114200.0,ns,2278
fib 20,,,,,67963500.0,ns,2312
fib 20,,,,,68959700.0,ns,2346
fib 20,,,,,70108000.0,ns,2380
fib 20,,,,,70951100.0,ns,2414
fib 20,,,,,72558000.0,ns,2448
fib 20,,,,,72921200.0,ns,2482
fib 20,,,,,73988900.0,ns,2516
fib 20,,,,,74877200.0,ns,2550
fib 20,,,,,75964100.0,ns,2584
fib 20,,,,,77000600.0,ns,2618
fib 20,,,,,77996200.0,ns,2652
fib 20,,,,,78945600.0,ns,2686
fib 20,,,,,82515100.0,ns,2720
fib 20,,,,,80874000.0,ns,2754
fib 20,,,,,81927600.0,ns,2788
fib 20,,,,,82915600.0,ns,2822
fib 20,,,,,83975000.0,ns,2856
fib 20,,,,,84930400.0,ns,2890
fib 20,,,,,85918100.0,ns,2924
fib 20,,,,,86949000.0,ns,2958
fib 20,,,,,87995000.0,ns,2992
fib 20,,,,,91459100.0,ns,3026
fib 20,,,,,90309800.0,ns,3060
fib 20,,,,,90890600.0,ns,3094
fib 20,,,,,92809500.0,ns,3128
fib 20,,,,,93874400.0,ns,3162
fib 20,,,,,94256500.0,ns,3196
fib 20,,,,,95004100.0,ns,3230
fib 20,,,,,95868900.0,ns,3264
fib 20,,,,,96886200.0,ns,3298
fib 20,,,,,97951000.0,ns,3332
fib 20,,,,,98974300.0,ns,3366
fib 20,,,,,100154400.0,ns,3400
